calories,splat_pts,steps,date,time,coach,template_version,avg_heart_rate,peak_heart_rate
786,16,"3,739",11/04/2018,10‌: 00 AM,Shelby,1,146,173
714,16,"2,682",10.05.18,7‌: 10 AM,Kevin,2,143,181
754,18,"4,219",11/14/2018,7‌: 10 AM,Shelby,1,145,173
789,20,"3,222",10/26/2018,7‌: 10 AM,Kevin,1,150,177
910,32,"3,142",10.01.18,6‌: 05 AM,Shelby,2,159,191
756,14,"3,435",11/18/2018,10‌: 00 AM,Stephen,1,140,178
656,21,4,10/12/2018,7‌:10 AM,Kevin,1,136,180
779,20,"3,561",11/16/2018,7‌: 10 AM,Kevin,1,150,177
"1,265",46,"5,969",10.07.18,12‌: 30 PM,Kate,2,155,187
843,32,"4,739",11/06/2018,7‌: 10 AM,Stephen,1,157,182
790,11,4,10/15/2018,6‌:05 AM,Kevin,1,144,169
838,28,"4,262",10/24/2018,7‌: 10 AM,Shelby,1,153,180
741,13,0,11/09/2018,7‌: 10 AM,Kevin,1,147,176
765,26,"4,576",11/03/2018,12‌: 30 PM,Kevin,1,154,185
877,27,"3,072",09.28.18,6‌: 05 AM,Kevin,2,151,184
903,38,"2,868",10.03.18,5‌: 30 PM,Shelby,2,158,183
790,27,"4,569",11/08/2018,7‌: 10 AM,Stephen,1,155,188
791,27,"3,655",11/12/2018,7‌: 10 AM,Kevin,1,154,178
789,24,"1,869",11/01/2018,7‌: 10 AM,Stephen,1,148,176
793,23,"4,125",10/17/2018,7‌:10 AM,Shelby,1,147,179
786,16,"3,739",11/04/2018,10‌: 00 AM,Shelby,1,146,173
805,25,"3,780",11/11/2018,10‌: 00 AM,Shelby,1,150,184
796,23,"4,098",10.10.18,7‌: 10 AM,Shelby,2,148,182
920,41,"4,759",09.26.18,7‌: 10 AM,Stephen,2,162,190
766,20,"3,457",11/20/2018,7‌: 10 AM,Stephen,1,149,181
872,27,"4,717",10.08.18,7‌: 10 AM,Kevin,2,154,179
